la,ld,nf,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,arexp,rrexp,asexp,rsexp,asawr,rsawr
421,38,13,6,1,0.9550959505346588,2.0,81354.0,3.0,0,6.0,777624.7692307692,9.0,2.0,111.0,81.0,111.0,81.0,68.0,74.0,0.2233009708737864,0.2427184466019417
190,0,5,3,1,0.7110307793407612,7.0,1113429.0,11.0,0,24.0,168812.2,39.0,3.0,0.0,317.0,0.0,316.0,0.0,223.0,0.0032258064516129032,0.7225806451612903
10,0,1,1,1,0.0,3.0,240921.0,7.0,0,0.0,0.0,0.0,1.0,23.0,48.0,23.0,48.0,20.0,44.0,0.06752411575562701,0.14469453376205788
2,1,1,1,1,0.0,3.0,2725257.0,2.0,0,11.0,210697.0,13.0,2.0,15.0,20.0,15.0,20.0,1.0,1.0,0.14285714285714285,0.14285714285714285
0,15,1,1,1,0.0,1.0,-50026076.0,2.0,0,3.0,1353166.0,3.0,2.0,8.0,10.0,8.0,10.0,4.0,5.0,0.2380952380952381,0.2857142857142857
74,18,2,2,1,0.9914606013843204,2.0,3162828.0,6.0,0,7.0,609500.0,14.0,3.0,105.0,239.0,105.0,239.0,21.0,92.0,0.21568627450980396,0.9117647058823528
2,2,2,2,1,1.0,2.0,67283.0,6.0,0,20.0,258606.0,26.0,2.0,1.0,107.0,1.0,107.0,1.0,74.0,0.00641025641025641,0.2403846153846154
163,46,12,7,1,0.8878550740801873,5.0,-49334730.0,7.0,0,4.0,415250.0,8.0,2.0,9.0,43.0,9.0,43.0,5.0,19.0,0.2727272727272727,0.9090909090909092
20,8,2,1,2,0.3712323266408756,1.0,-49539559.0,3.0,0,11.0,104708.0,14.0,3.0,39.0,28.0,39.0,28.0,3.0,4.0,0.26666666666666666,0.3333333333333333
0,13,1,1,1,0.0,1.0,-49764488.0,2.0,0,2.0,2199563.0,2.0,2.0,1.0,18.0,1.0,18.0,1.0,10.0,0.08695652173913042,0.4782608695652174
2,2,1,1,1,0.0,2.0,2695135.0,5.0,0,6.0,597533.0,16.0,4.0,107.0,241.0,107.0,241.0,10.0,11.0,0.5,0.5454545454545454
277,18,10,6,1,0.5314504257784664,4.0,271122.0,22.0,0,36.0,262848.3,117.0,2.0,24.0,138.0,24.0,138.0,21.0,91.0,0.07028753993610222,0.2939297124600639
0,1,1,1,1,0.0,1.0,38739.0,4.0,0,14.0,301890.0,14.0,3.0,9.0,145.0,9.0,145.0,9.0,107.0,0.03184713375796178,0.34394904458598724
2,2,1,1,1,0.0,1.0,28920.0,2.0,0,21.0,300282.0,47.0,2.0,44.0,114.0,44.0,114.0,27.0,79.0,0.08888888888888889,0.25396825396825395
0,8,1,1,1,0.0,1.0,33262.0,2.0,0,11.0,63518.0,15.0,2.0,109.0,118.0,109.0,118.0,3.0,2.0,0.25,0.1875
1,7,1,1,1,0.0,1.0,34013.0,3.0,0,0.0,0.0,0.0,3.0,110.0,124.0,110.0,124.0,75.0,101.0,0.2405063291139241,0.3227848101265823
1,1,1,1,1,0.0,1.0,1348.0,2.0,0,22.0,54184.0,48.0,2.0,45.0,133.0,45.0,133.0,28.0,126.0,0.0914826498422713,0.4006309148264984
35,8,2,2,1,0.9330252953592912,2.0,24362.0,2.0,0,25.0,37114.5,82.0,2.0,37.0,92.0,36.0,92.0,34.0,81.0,0.110062893081761,0.2578616352201258
47,13,5,5,1,0.6648340488182617,1.0,78505.0,3.0,0,25.0,2870.0,95.0,3.0,31.0,102.0,31.0,102.0,30.0,98.0,0.09717868338557993,0.3103448275862069
100,60,12,9,1,0.8292186855461527,6.0,340214.0,7.0,0,33.0,59537.75,119.0,2.0,9.0,144.0,9.0,144.0,9.0,141.0,0.03125,0.44375
16,18,2,2,1,0.3227569588973982,1.0,21549.0,3.0,0,7.0,2173532.0,7.0,3.0,32.0,95.0,32.0,95.0,31.0,84.0,0.09968847352024922,0.264797507788162
1,19,1,1,1,0.0,1.0,9037.0,2.0,0,3.0,1905234.0,3.0,2.0,11.0,95.0,11.0,95.0,11.0,84.0,0.037267080745341616,0.2639751552795031
115,94,10,7,1,0.7134467109555144,3.0,37803.0,6.0,0,36.0,170180.7,130.0,2.0,54.0,154.0,54.0,154.0,35.0,107.0,0.11145510835913312,0.33436532507739936
22,5,2,2,1,0.8767162889994641,3.0,14438.0,5.0,0,21.0,34436.0,85.0,2.0,235.0,146.0,234.0,146.0,160.0,119.0,0.4969135802469136,0.3703703703703704
95,78,5,3,1,0.4026966651499944,3.0,13825.0,6.0,0,22.0,45086.4,36.0,2.0,56.0,166.0,56.0,166.0,52.0,113.0,0.16307692307692306,0.3507692307692308
2,0,2,2,1,1.0,2.0,2971267.0,5.0,0,25.0,16636.0,86.0,3.0,144.0,252.0,144.0,252.0,100.0,175.0,0.3098159509202454,0.5398773006134969
475,848,9,6,2,0.11693553621278192,5.0,144057.0,10.0,0,29.0,1801.0,108.0,4.0,55.0,347.0,55.0,346.0,38.0,261.0,0.11206896551724138,0.7528735632183908
4,1,1,1,1,0.0,1.0,58181.0,2.0,0,0.0,0.0,0.0,2.0,6.0,158.0,6.0,158.0,3.0,111.0,0.012195121951219513,0.3414634146341464
7,1,2,2,1,0.8112781244591328,2.0,1893.0,6.0,0,4.0,750606.0,7.0,4.0,40.0,179.0,40.0,179.0,10.0,126.0,0.03343465045592705,0.3860182370820669
14,21,4,2,1,0.9820300262123284,2.0,88697.0,7.0,0,4.0,17935.0,8.0,4.0,41.0,204.0,41.0,204.0,11.0,146.0,0.03636363636363636,0.44545454545454544
13,7,2,2,1,0.9927744539878084,2.0,475836.0,4.0,0,9.0,1613.0,20.0,2.0,42.0,120.0,42.0,120.0,12.0,115.0,0.039274924471299086,0.3504531722054381
246,7,3,2,1,0.39334822293672056,7.0,2805415.0,18.0,0,7.0,2066463.333333333,9.0,3.0,187.0,254.0,187.0,254.0,88.0,93.0,0.8640776699029126,0.912621359223301
2,0,1,1,1,0.0,2.0,568471.0,11.0,0,4.0,860473.0,5.0,2.0,2.0,307.0,2.0,306.0,2.0,79.0,0.02884615384615385,0.7692307692307693
180,2,7,5,1,0.8939395341256239,3.0,266677.0,8.0,0,32.0,89366.0,110.0,3.0,33.0,184.0,33.0,184.0,32.0,170.0,0.09939759036144577,0.5150602409638554
1,53,2,2,2,0.13303964861069895,1.0,5450.0,2.0,0,2.0,2989923.0,1.0,2.0,55.0,13.0,55.0,13.0,55.0,11.0,0.16816816816816818,0.036036036036036036
106,1,2,2,1,0.31166198862303285,2.0,592567.0,6.0,0,10.0,891772.0,31.0,4.0,101.0,312.0,101.0,311.0,85.0,103.0,0.8190476190476189,0.9904761904761904
33,46,2,2,1,0.17033057560105985,1.0,6614.0,3.0,0,1.0,893107.0,1.0,3.0,113.0,201.0,113.0,201.0,77.0,152.0,0.2335329341317365,0.4580838323353293
2,2,1,1,1,0.0,2.0,407847.0,2.0,0,7.0,273068.0,17.0,3.0,4.0,167.0,4.0,167.0,1.0,3.0,0.08333333333333333,0.16666666666666666
0,0,1,1,1,0.0,2.0,56684.0,4.0,0,13.0,106279.0,24.0,2.0,19.0,281.0,19.0,280.0,19.0,192.0,0.059701492537313425,0.5761194029850746
7,0,1,1,1,0.0,1.0,6710.0,2.0,0,14.0,304410.0,15.0,2.0,16.0,269.0,16.0,268.0,15.0,187.0,0.047619047619047616,0.5595238095238095
2,2,1,1,1,0.0,1.0,1179.0,3.0,0,5.0,982155.0,4.0,3.0,241.0,142.0,240.0,142.0,164.0,117.0,0.4896142433234421,0.35014836795252224
778,48,11,2,1,0.9181070602128504,2.0,63300.0,3.0,0,3.0,1847385.8181818181,4.0,2.0,127.0,98.0,127.0,98.0,79.0,90.0,0.2366863905325444,0.2692307692307692
0,0,1,1,1,0.0,1.0,1365.0,2.0,0,2.0,1988707.0,2.0,2.0,7.0,112.0,7.0,112.0,4.0,89.0,0.014749262536873156,0.26548672566371684
2,2,1,1,1,0.0,1.0,2911.0,2.0,0,22.0,86746.0,53.0,2.0,11.0,78.0,11.0,78.0,11.0,69.0,0.035294117647058816,0.2058823529411765
365,46,2,2,1,0.9888642043472528,1.0,180903.0,2.0,0,2.0,1893274.0,3.0,2.0,128.0,138.0,128.0,138.0,80.0,132.0,0.2375366568914956,0.3900293255131965
6,11,4,4,1,0.9363348190250748,1.0,233171.0,3.0,0,27.0,103950.0,49.0,3.0,12.0,193.0,12.0,193.0,12.0,155.0,0.038011695906432746,0.456140350877193
21,21,4,2,1,0.7890457226193337,1.0,41876.0,3.0,0,22.0,39841.0,35.0,3.0,57.0,206.0,57.0,206.0,57.0,167.0,0.16909620991253646,0.4897959183673469
454,1,9,6,1,0.6735895956980915,11.0,1120450.0,14.0,0,32.0,366726.5555555556,66.0,2.0,1.0,316.0,1.0,315.0,1.0,220.0,0.005813953488372093,0.6424418604651163
24,6,3,2,1,0.9057575465506208,2.0,245934.0,6.0,0,4.0,313141.0,10.0,4.0,48.0,330.0,48.0,329.0,16.0,217.0,0.04927536231884058,0.6318840579710145
6,5,4,1,1,0.9681300137657636,3.0,87247.0,6.0,0,5.0,873030.5,8.0,2.0,45.0,117.0,45.0,117.0,15.0,98.0,0.04624277456647399,0.2861271676300578
5,6,1,1,1,0.0,4.0,1990492.0,4.0,0,2.0,67660.0,5.0,2.0,2.0,253.0,2.0,252.0,1.0,173.0,0.005763688760806916,0.5014409221902018
10,6,2,2,1,0.5435644431995964,3.0,216456.0,6.0,0,5.0,498603.0,5.0,2.0,4.0,289.0,4.0,288.0,4.0,200.0,0.014367816091954025,0.5775862068965517
2,0,1,1,1,0.0,1.0,2273.0,2.0,0,12.0,533686.0,16.0,2.0,5.0,191.0,5.0,191.0,1.0,5.0,0.1176470588235294,0.35294117647058826
43,55,2,2,1,0.29071586546741496,10.0,256123.0,15.0,0,16.0,430911.0,27.0,2.0,66.0,192.0,66.0,192.0,61.0,90.0,0.17765042979942694,0.2607449856733524
37,3,3,2,1,0.9372305632161296,3.0,84724.0,2.0,0,5.0,80514.66666666669,12.0,2.0,46.0,85.0,46.0,85.0,16.0,82.0,0.04857142857142857,0.2371428571428572
4,3,1,1,1,0.0,1.0,-49303212.0,5.0,0,4.0,608268.0,5.0,1.0,47.0,20.0,47.0,20.0,16.0,12.0,0.7083333333333334,0.5416666666666666
38,9,9,5,1,0.9498023131828048,3.0,142098.0,4.0,0,38.0,221824.11111111112,129.0,2.0,21.0,120.0,21.0,120.0,0.0,101.0,0.0028490028490028487,0.2905982905982906
2,1,1,1,1,0.0,1.0,88844.0,3.0,0,4.0,10761.0,11.0,2.0,48.0,87.0,48.0,87.0,17.0,84.0,0.05113636363636364,0.24147727272727276
154,34,13,7,1,0.7216004234012423,6.0,434462.0,10.0,0,38.0,48913.0,137.0,3.0,38.0,145.0,38.0,145.0,24.0,139.0,0.0708215297450425,0.396600566572238
1,2,1,1,1,0.0,2.0,53210.0,3.0,0,1.0,487278.0,1.0,2.0,0.0,109.0,0.0,109.0,0.0,97.0,0.002824858757062147,0.2768361581920904
2,4,2,1,1,1.0,2.0,12785.0,4.0,0,27.0,10755.0,90.0,2.0,1.0,122.0,1.0,122.0,1.0,103.0,0.00563380281690141,0.29295774647887324
572,0,9,3,1,0.679206268660584,3.0,-49302618.0,3.0,0,4.0,706899.4444444445,4.0,1.0,6.0,22.0,6.0,22.0,5.0,13.0,0.24,0.56
29,14,2,2,1,0.6931274153282879,4.0,-45728792.0,12.0,0,3.0,2604524.0,4.0,2.0,3.0,28.0,3.0,28.0,3.0,18.0,0.15384615384615385,0.7307692307692307
0,17,1,1,1,0.0,1.0,-49334348.0,2.0,0,2.0,2870746.0,2.0,2.0,12.0,57.0,12.0,57.0,8.0,23.0,0.3333333333333333,0.8888888888888888
4,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,1,0.0,2.0,2910232.0,2.0,0,6.0,700912.0,13.0,3.0,316.0,219.0,315.0,219.0,74.0,92.0,0.7075471698113207,0.8773584905660378
10,0,2,2,1,1.0,1.0,50121.0,3.0,0,7.0,1738140.0,8.0,3.0,29.0,209.0,29.0,209.0,27.0,187.0,0.07865168539325842,0.5280898876404494
43,5,2,1,1,0.6962122601251458,1.0,269327.0,1.0,0,7.0,5320800.0,14.0,1.0,247.0,102.0,246.0,102.0,65.0,86.0,0.616822429906542,0.8130841121495327
9,4,3,3,1,0.7193329040881774,1.0,86445.0,3.0,0,16.0,56002.66666666666,31.0,2.0,13.0,179.0,13.0,179.0,13.0,114.0,0.0392156862745098,0.3221288515406163
1,1,1,1,1,0.0,1.0,65237.0,5.0,0,2.0,1318522.0,5.0,2.0,49.0,296.0,49.0,295.0,16.0,102.0,0.1574074074074074,0.9537037037037036
53,36,3,2,1,0.7166373621456276,3.0,-49310955.0,4.0,0,4.0,479412.66666666674,8.0,2.0,25.0,56.0,25.0,56.0,16.0,22.0,0.6071428571428571,0.8214285714285714
273,42,8,7,1,0.7422175614628986,8.0,166124.0,12.0,0,32.0,72090.75,113.0,2.0,34.0,140.0,34.0,139.0,33.0,135.0,0.09497206703910614,0.37988826815642457
5,1,1,1,1,0.0,2.0,1955504.0,6.0,0,20.0,98012.0,25.0,3.0,117.0,127.0,117.0,127.0,80.0,89.0,0.2256267409470752,0.25069637883008355
32,7,1,1,1,0.0,1.0,156654.0,2.0,0,1.0,6883019.0,1.0,2.0,133.0,120.0,133.0,120.0,0.0,0.0,0.06666666666666668,0.06666666666666668
381,53,14,10,1,0.7731120244765263,10.0,3048224.0,33.0,0,45.0,5128.0,149.0,2.0,13.0,227.0,13.0,227.0,11.0,174.0,0.03333333333333333,0.4861111111111111
97,266,9,6,1,0.6566777946663859,1.0,164700.0,8.0,0,34.0,24878.66666666667,125.0,2.0,68.0,186.0,68.0,186.0,63.0,136.0,0.1772853185595568,0.3795013850415512
15,9,2,2,1,1.0,3.0,85611.0,10.0,0,18.0,14319.0,22.0,4.0,8.0,200.0,8.0,200.0,5.0,178.0,0.016574585635359115,0.49447513812154703
293,73,17,10,1,0.7555790694863088,6.0,2358090.0,13.0,0,42.0,156511.82352941178,166.0,2.0,1.0,188.0,1.0,188.0,0.0,138.0,0.0027548209366391185,0.3829201101928375
5,8,2,2,1,0.8904916402194913,2.0,98377.0,6.0,0,26.0,12170.0,36.0,3.0,5.0,281.0,5.0,280.0,5.0,196.0,0.016483516483516484,0.5412087912087912
26,13,3,2,1,0.4878527713892913,1.0,40857.0,3.0,0,30.0,10941.0,43.0,3.0,6.0,341.0,6.0,340.0,6.0,222.0,0.019178082191780826,0.6109589041095891
32,10,2,2,1,0.97366806454962,4.0,2279786.0,17.0,0,27.0,12561.0,38.0,2.0,7.0,73.0,7.0,73.0,7.0,73.0,0.02185792349726776,0.2021857923497268
54,56,1,1,1,0.0,2.0,21504.0,7.0,0,26.0,53232.0,58.0,4.0,70.0,182.0,70.0,182.0,70.0,154.0,0.19346049046321528,0.4223433242506812
6,2,2,2,1,0.5435644431995964,2.0,505170.0,2.0,0,4.0,3203767.0,9.0,2.0,15.0,24.0,15.0,24.0,13.0,22.0,0.6086956521739131,1.0
0,1,1,1,1,0.0,1.0,48639.0,2.0,0,19.0,88625.0,30.0,5.0,8.0,224.0,8.0,224.0,5.0,213.0,0.016304347826086956,0.5815217391304348
14,4,2,2,1,0.8524051786494786,2.0,63800.0,7.0,0,19.0,97194.0,19.0,3.0,51.0,274.0,51.0,273.0,31.0,192.0,0.08672086720867209,0.5230352303523035
48,65,10,6,2,0.8648417831971851,6.0,471528.0,5.0,0,5.0,269978.7272727273,9.0,2.0,252.0,187.0,251.0,187.0,172.0,167.0,0.4675675675675676,0.4540540540540541
28,14,4,4,1,0.8208507537146739,2.0,1241516.0,4.0,0,2.0,3253351.0,3.0,3.0,17.0,22.0,17.0,22.0,15.0,20.0,0.6666666666666666,0.875
6,6,2,2,1,1.0,1.0,12473.0,3.0,0,27.0,66301.0,39.0,3.0,9.0,285.0,9.0,284.0,9.0,200.0,0.026954177897574125,0.5417789757412399
26,13,1,1,1,0.0,2.0,26809.0,4.0,0,1.0,3283092.0,1.0,2.0,10.0,122.0,10.0,122.0,10.0,114.0,0.02956989247311828,0.30913978494623656
17,8,2,2,1,0.9043814577244936,3.0,74704.0,9.0,0,1.0,2926498.0,1.0,3.0,135.0,257.0,135.0,257.0,130.0,151.0,0.3512064343163539,0.4075067024128686
0,2,1,1,1,0.0,1.0,96740.0,3.0,0,8.0,642621.0,15.0,3.0,11.0,109.0,11.0,109.0,11.0,94.0,0.032085561497326213,0.2540106951871658
140,29,2,2,1,0.9841566800928478,4.0,512409.0,5.0,0,30.0,100534.0,98.0,2.0,35.0,296.0,35.0,295.0,34.0,209.0,0.09333333333333334,0.56
6,0,1,1,1,0.0,2.0,40505.0,3.0,0,1.0,773875.0,1.0,3.0,79.0,129.0,79.0,128.0,76.0,107.0,0.2047872340425532,0.2872340425531915
41,12,2,2,1,0.993570475770608,2.0,66737.0,3.0,0,10.0,22413.0,17.0,2.0,39.0,98.0,39.0,98.0,25.0,85.0,0.06896551724137931,0.2281167108753316
4,4,2,2,2,0.8112781244591328,2.0,337724.0,4.0,0,15.0,507083.66666666674,23.0,2.0,2.0,264.0,2.0,263.0,2.0,181.0,0.007936507936507936,0.4814814814814815
39,8,7,3,1,0.7187071591609672,1.0,45509.0,3.0,0,23.0,620598.4285714285,88.0,3.0,115.0,246.0,115.0,246.0,112.0,139.0,0.29815303430079154,0.36939313984168864
17,0,3,3,1,0.9360847109776412,1.0,888.0,2.0,0,23.0,111814.66666666669,35.0,2.0,67.0,140.0,67.0,140.0,47.0,124.0,0.1263157894736842,0.32894736842105265
4,3,1,1,1,0.0,2.0,64230.0,4.0,0,4.0,79372.0,4.0,3.0,12.0,130.0,12.0,130.0,12.0,91.0,0.03412073490813648,0.2414698162729659
23,14,2,2,1,0.7531979910695014,3.0,96118.0,4.0,0,12.0,404545.0,13.0,2.0,3.0,339.0,3.0,338.0,3.0,238.0,0.010471204188481676,0.6256544502617801
2,0,1,1,1,0.0,1.0,1616.0,3.0,0,20.0,126194.0,20.0,2.0,1.0,89.0,1.0,89.0,1.0,80.0,0.0052219321148825075,0.21148825065274152
39,24,4,3,1,0.8205934336383406,2.0,85146.0,5.0,0,5.0,129075.0,10.0,3.0,140.0,182.0,140.0,182.0,90.0,83.0,0.23697916666666666,0.21875
3,2,2,2,1,0.9709505944546686,2.0,12972.0,4.0,0,26.0,81698.0,98.0,2.0,3.0,138.0,3.0,138.0,3.0,118.0,0.010389610389610391,0.3090909090909091
5,1,1,1,1,0.0,2.0,3229.0,2.0,0,11.0,218767.0,21.0,3.0,18.0,319.0,18.0,318.0,16.0,238.0,0.04404145077720207,0.6191709844559585
1,1,1,1,1,0.0,1.0,2499.0,3.0,0,21.0,79977.0,32.0,2.0,77.0,88.0,77.0,88.0,77.0,64.0,0.2015503875968992,0.16795865633074936
30,12,3,3,1,0.3463516860337494,2.0,332002.0,4.0,0,36.0,114320.66666666669,83.0,3.0,78.0,162.0,78.0,162.0,78.0,109.0,0.2036082474226804,0.28350515463917525
12,7,1,1,1,0.0,1.0,1019220.0,5.0,0,21.0,10438.0,33.0,2.0,79.0,196.0,79.0,196.0,79.0,138.0,0.20565552699228792,0.35732647814910024
2,3,1,1,1,0.0,1.0,202602.0,5.0,0,1.0,1661596.0,2.0,3.0,90.0,331.0,90.0,330.0,13.0,77.0,0.12844036697247707,0.7155963302752294
2,2,1,1,1,0.0,1.0,1500893.0,2.0,0,1.0,7470245.0,1.0,4.0,118.0,199.0,118.0,199.0,80.0,159.0,0.2076923076923077,0.41025641025641024
82,45,1,1,1,0.0,3.0,1445941.0,6.0,0,3.0,449.0,2.0,3.0,1.0,234.0,1.0,234.0,1.0,126.0,0.005115089514066497,0.3248081841432225
1,1,1,1,1,0.0,1.0,1499419.0,3.0,0,2.0,2344292.0,3.0,4.0,120.0,174.0,120.0,174.0,82.0,131.0,0.21173469387755106,0.33673469387755106
114,1,2,2,1,0.6857507645439239,5.0,99950.0,3.0,0,27.0,246613.0,99.0,2.0,36.0,346.0,36.0,345.0,35.0,244.0,0.0916030534351145,0.6234096692111959
307,0,3,3,1,0.6402414659702241,10.0,1306622.0,17.0,0,5.0,86747.33333333331,7.0,2.0,5.0,199.0,5.0,199.0,5.0,141.0,0.015228426395939087,0.3604060913705584
9,2,2,2,1,0.9940302114769564,4.0,80178.0,8.0,0,21.0,302523.0,22.0,4.0,2.0,354.0,2.0,353.0,2.0,251.0,0.007594936708860759,0.6379746835443038
3,10,1,1,1,0.0,2.0,-48635480.0,11.0,0,7.0,954633.0,18.0,2.0,5.0,29.0,5.0,29.0,2.0,8.0,0.12,0.36
69,3,2,2,1,0.6812908868842176,3.0,1034956.0,5.0,0,6.0,541136.0,14.0,2.0,51.0,201.0,51.0,201.0,18.0,143.0,0.047979797979797977,0.3636363636363637
2,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,1,1,1,0.0,1.0,1520.0,4.0,0,1.0,1729931.0,1.0,3.0,12.0,185.0,12.0,185.0,12.0,162.0,0.0327455919395466,0.4105793450881612
103,9,5,2,1,0.4223772674131821,6.0,2591675.0,26.0,0,11.0,1530525.6,36.0,1.0,3.0,109.0,3.0,109.0,3.0,88.0,0.03636363636363636,0.8090909090909091
3,4,3,2,1,0.8699155297736259,1.0,1433.0,2.0,0,27.0,97924.0,100.0,2.0,75.0,203.0,75.0,203.0,70.0,145.0,0.17839195979899494,0.36683417085427134
42,0,2,2,1,0.7024665512903903,2.0,2963.0,7.0,0,7.0,598697.5,9.0,3.0,76.0,290.0,76.0,290.0,71.0,230.0,0.18045112781954886,0.5789473684210527
34,8,2,2,1,0.74959525725948,1.0,719.0,2.0,0,1.0,4919288.0,1.0,2.0,261.0,169.0,260.0,169.0,180.0,116.0,0.4525,0.2925
7,2,2,2,1,0.9182958340544896,2.0,1806.0,3.0,0,2.0,0.0,2.0,3.0,262.0,188.0,260.0,187.0,181.0,133.0,0.4538653366583541,0.3341645885286783
3,3,1,1,1,0.0,3.0,10618.0,5.0,0,5.0,438791.0,7.0,3.0,13.0,168.0,13.0,168.0,13.0,157.0,0.03482587064676617,0.3930348258706468
11,5,1,1,1,0.0,6.0,105328.0,10.0,0,3.0,485571.0,2.0,2.0,0.0,183.0,0.0,183.0,0.0,140.0,0.0024813895781637717,0.34987593052109184
2762,15,7,3,3,0.6994081070273048,6.0,1821793.0,4.0,0,14.0,220256.85714285716,20.0,2.0,18.0,18.0,18.0,18.0,18.0,18.0,0.4523809523809524,0.4523809523809524
99,93,4,4,1,0.9219388838871008,6.0,77067.0,3.0,0,23.0,781486.75,88.0,3.0,263.0,216.0,262.0,216.0,182.0,172.0,0.452970297029703,0.4282178217821782
7,14,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,25,1,1,1,0.0,2.0,3255.0,3.0,0,6.0,5328.0,8.0,2.0,264.0,44.0,263.0,44.0,183.0,38.0,0.45432098765432105,0.0962962962962963
122,4,3,2,1,0.293866216236954,2.0,14670.0,2.0,0,9.0,738371.3333333335,19.0,2.0,38.0,299.0,38.0,298.0,1.0,69.0,0.018018018018018014,0.6306306306306306
